"Dấu thời gian","Bạn đang học năm mấy? ","  Một học kỳ bạn thường học bao nhiêu tín chỉ?  ","  Bạn cảm thấy khối lượng học tập của mình:  ","  GPA học kỳ gần nhất của bạn khoảng:  ","  Bạn đã từng học lại môn nào chưa?  ","Khi học nhiều môn cùng lúc, kết quả của bạn:  ","Trung bình mỗi ngày bạn dành bao nhiêu thời gian tự học?  ","  Bạn đánh giá mức độ khó của học kỳ vừa rồi:  "
"2026/05/02 10:09:13 SA GMT+7","Năm 2","20–22","Hơi nặng","3.2 – 3.59","Chưa","Giảm nhẹ","2–4 giờ","Khó"
"2026/05/04 9:11:29 SA GMT+7","Năm 2","20–22","Hơi nặng","2.5 – 3.19","Chưa","Giảm nhẹ","1–2 giờ","Bình thường"
"2026/05/04 9:14:42 SA GMT+7","Năm 2","17–19","Vừa phải","Trên 3.6","Chưa","Không đổi","1–2 giờ","Bình thường"
"2026/05/04 9:15:16 SA GMT+7","Năm 2","20–22","Vừa phải","3.2 – 3.59","Chưa","Không đổi","1–2 giờ","Bình thường"
"2026/05/04 9:45:16 SA GMT+7","Năm 1","Dưới 14","Rất nặng","Dưới 2.0","Nhiều hơn 3 môn","Giảm rõ rệt","Dưới 1 giờ","Rất khó"
"2026/05/04 10:15:12 SA GMT+7","Năm 2","20–22","Vừa phải","2.5 – 3.19","Chưa","Giảm nhẹ","Dưới 1 giờ","Bình thường"
"2026/05/05 10:29:56 SA GMT+7","Năm 4","20–22","Hơi nặng","2.5 – 3.19","1 môn","Giảm rõ rệt","2–4 giờ","Khó"
"2026/05/05 10:31:21 SA GMT+7","Năm 1","20–22","Hơi nặng","2.5 – 3.19","Chưa","Không đổi","2–4 giờ","Khó"
"2026/05/05 10:32:15 SA GMT+7","Năm 2","17–19","Hơi nặng","2.5 – 3.19","Chưa","Giảm rõ rệt","2–4 giờ","Khó"
"2026/05/05 10:32:23 SA GMT+7","Năm 2","14–16","Vừa phải","Dưới 2.0","1 môn","Không đổi","2–4 giờ","Khó"
"2026/05/05 10:35:19 SA GMT+7","Năm 1","20–22","Hơi nặng","2.5 – 3.19","Chưa","Giảm nhẹ","2–4 giờ","Bình thường"
"2026/05/05 10:39:43 SA GMT+7","Năm 1","Dưới 14","Vừa phải","2.5 – 3.19","Chưa","Không đổi","2–4 giờ","Bình thường"
"2026/05/05 10:40:08 SA GMT+7","Năm 4","20–22","Rất nặng","Trên 3.6","Chưa","Tốt hơn","1–2 giờ","Dễ"
"2026/05/05 10:40:38 SA GMT+7","Năm 2","20–22","Vừa phải","2.0 – 2.49","Chưa","Tốt hơn","Trên 4 giờ","Bình thường"
"2026/05/05 10:42:02 SA GMT+7","Năm 2","20–22","Vừa phải","2.5 – 3.19","1 môn","Không đổi","1–2 giờ","Bình thường"
"2026/05/05 10:42:06 SA GMT+7","Năm 2","17–19","Hơi nặng","2.5 – 3.19","1 môn","Giảm rõ rệt","1–2 giờ","Khó"
"2026/05/05 10:44:47 SA GMT+7","Năm 1","20–22","Hơi nặng","3.2 – 3.59","1 môn","Không đổi","1–2 giờ","Khó"
"2026/05/05 10:53:59 SA GMT+7","Năm 2","20–22","Vừa phải","2.0 – 2.49","Chưa","Giảm nhẹ","Dưới 1 giờ","Bình thường"
"2026/05/05 11:06:26 SA GMT+7","Năm 2","14–16","Vừa phải","3.2 – 3.59","Chưa","Giảm nhẹ","Dưới 1 giờ","Bình thường"
"2026/05/05 1:33:37 CH GMT+7","Năm 2","20–22","Hơi nặng","2.5 – 3.19","Chưa","Giảm nhẹ","Dưới 1 giờ","Bình thường"
"2026/05/05 1:51:43 CH GMT+7","Năm 1","20–22","Hơi nặng","2.0 – 2.49","Chưa","Giảm rõ rệt","1–2 giờ","Bình thường"
